Metric,Group,sample_count,average,std_dev,error
FF,With Prewetting,5,0.7877512811462108,0.07111526086464122,0.03180371150619365
FF,Without Prewetting,6,0.7032039050406271,0.12434995951947297,0.05076565839307542
Isc,With Prewetting,5,12.868945005926582,7.201720456451557,3.220707299115299
Isc,Without Prewetting,6,12.971256918607594,6.411590866500391,2.617521010402503
PCE,With Prewetting,5,15.951795436878053,4.170736726180649,1.8652101671989714
PCE,Without Prewetting,6,14.863562960166965,3.268041376754439,1.334172305225169
Voc,With Prewetting,5,0.8906454,0.024736040746247235,0.011062293720562688
Voc,Without Prewetting,6,0.8876346666666667,0.03687416951561985,0.015053816667026498
